mmdd,segment_length
527,451
527,19
527,28
527,12
527,74
527,14
527,11
527,357
529,19
529,70
529,39
529,85
529,40
529,14
529,7
529,13
529,8
531,95
531,103
531,84
531,99
531,12
531,37
531,7
531,22
531,641
531,779
531,390
531,253
531,275
531,431
531,273
531,658
601,165
601,73
601,21
601,52
601,103
601,29
601,38
601,33
601,257
601,6
601,22
601,388
601,68
601,597
602,182
602,93
602,156
602,145
602,146
602,97
602,197
602,155
602,9
602,30
602,43
602,7
603,67
603,7
603,10
603,9
603,7
603,583
604,158
604,564
604,247
604,14
604,39
604,183
604,59
604,226
604,684
604,869
604,661
604,475
604,360
604,258
604,514
604,335
605,254
605,318
605,285
605,288
605,490
605,198
605,284
605,274
605,99
605,257
605,355
605,344
605,417
605,362
605,304
605,345
606,214
606,730
606,317
606,635
606,283
606,656
606,491
606,378
606,472
606,346
606,439
606,283
606,318
606,372
606,323
606,655
607,771
607,1034
607,833
607,656
607,492
607,447
607,362
607,312
607,1230
607,586
607,910
607,1033
607,711
607,677
607,675
607,1026
608,672
608,558
608,343
608,740
608,564
608,534
608,472
608,211
608,672
608,558
608,343
608,740
608,564
608,534
608,472
608,211
609,1512
609,987
609,615
609,515
609,440
609,832
609,808
609,500
609,195
609,596
609,433
609,203
609,469
609,377
609,219
609,429
